title,content,vote,comment
 2학기도 싸강이면 강의 시작시간 없애면 안 되나? , 솔직히 라이브 수업 하는 교수님 거의 없지 않아? 1학기에 울과는 거의 없었거든.. 그럼 자기가 라이브 강의 하겠다@@ 라고 선언한 교수님은 수 , 0 , 8 
 군대까지 한달 남았다 , 만날 친구도 없고 나름 의미있게 보내고 싶은데 뭘하면 좋을까 , 0 , 0 
 ㅎㅂㅊ 생산 , 성적 너무 후한 거 아니냐ㅋㅋㅋㅋㅋ 감사해요 교수님ㅜㅜㅜㅜㅜ 주변 사람들 거의 다 A+인데 아닌 사람 있니 , 0 , 0 
 갓민병교 쏴리질러~! , 너무 좋다 ㅋㅋ 이번엔 A+ 받고 떳떳한 수강생이 되어야지 , 0 , 7 
 사진의이해 원래 페논페였어? ," 새내기인데,, 왜 성적이 S로 나오지? ", 0 , 3 
 일반화학 계절듣는분들 , 책 피디엪 구했어요? , 0 , 3 
 영글의 ㅈㅎㅇ교수님 들으시는분? , 그냥 과제만 제출하면 오늘 수업끝인가요? , 0 , 3 
 영토세.... , 영토세 듣는 친구들아  드랍할거니? , 0 , 9 
 회계법인 질문 좀 ㅎㅎ , 우리 학교면 4대법인 입사는 씹가능이지?ㅎㅎ , 0 , 13 
 성적 코로나 버프일까? , 이번 학기 아무것도 안 하고 공부만 열심히 하기는 했는데 지금 성적이 너무 잘 나와서 내가 다 당황스럽다. 이 성적은 절평 버프일까? 다들 전보 , 0 , 10 
 1시 수업인데 , 왜 아직도 강의 안 올라오지... , 0 , 0 
 전공 B+ B인데 패스하는거 어때요? ," 경영 새내기인데요, 점수가 저렇게 나오면 패스하는게 좋나요? ", 0 , 11 
 듣는 수업 성적 떠서 들어가봤는데 , 전에 사캠 오류때문에 무효된 시험인거 까먹고  0점에 울 뻔햇다....ㅜ 다행이다 ㅜㅜ , 0 , 2 
 기초c , 기초c 박주미 교수님 다들 몇 점이신가요??ㅜㅜ 저는 60점대예요ㅜㅜㅜ , 0 , 3 
 영어 강의 , 나만 영어 강의가 너무 자신없나 수업시간에 교수님 말씀 하나도 못알아듣겠고 번역기 무조건 필수고  퀴즈나 에세이 이런것도 너무 걱정되고 계속 포 , 1 , 4 
 성적 궁금해... , 아직 하나밖에 안 나온거 실화냐 ㅋㅋㅋㅋㅠㅠ , 0 , 2 
 융소 b트랙 듣는 사람 있나?? , 할까말까 고민 중인데 후기도 별로 없고 정보도 적어서ㅠㅜㅠㅠㅠ 참고로 나 대학수학 안듣고 과학사 들었는데 영향은 따로 없겠지?? , 0 , 6 
